raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida,ranking_de_popularidad
Black Russian Terrier,working,19819,10.5,0,2833,489,2,1,large,20.35,71,Average,25-40,>50,none,none,high-end,2500,3000,4448,11456,128
Bluetick Coonhound,hound,19819,11.5,0,370,489,2,1,large,28,61,Average,25-40,>50,none,none,budget,200,500,4448,11456,136
Boykin Spaniel,sporting,19819,15,1,531,489,2,1,medium,20.35,41,Average,25-40,>50,no data,no data,budget,200,800,4448,11456,138
Canaan Dog,herding,19819,14.67,0,795,489,2,1,medium,20,55,Average,25-40,>50,none,none,mid-price,362,1395,5872,15344,168
Cane Corso,working,19819,11,1,1070,489,2,1,large,20.35,64,Average,25-40,>50,no data,no data,mid-price,900,1500,4448,11456,67
Cardigan Welsh Corgi,herding,19819,12.7,0,828,489,2,1,small,14,29,Excellent,5-15,>85,none,none,mid-price,395,1085,4448,13284,81
Cesky Terrier,terrier,19819,8.42,1,795,489,2,1,small,9,29,Average,25-40,>50,no data,no data,mid-price,362,1395,3370,8807,106
Chinese Crested,toy,19819,10.08,1,538,489,2,1,small,20.35,30,Fair,40-80,>30,no data,no data,budget,125,1300,4448,10543,61
Chinese Shar Pei,non-sporting,19819,10,4,840,489,2,1,medium,24,48,Average,25-40,>50,"canine hay fever, skin, eye, hip problems","Atopy, Demodicosis/ Demodectic mange, Entropion, Hip dysplasia",mid-price,350,2000,4448,11456,50
Collie,herding,19819,12.5,2,650,489,2,1,large,28,61,Excellent,5-15,>85,"eye, skin and muscle disorders","Collie eye anomaly (CEA), Dermatomyositis and ulcerative dermatosis",budget,350,950,4448,11456,36
Curly Coated Retriever,sporting,19819,10.75,0,795,489,2,2,large,20.35,64,Average,25-40,>50,none,none,mid-price,362,1395,6548,11244,154
English Foxhound,hound,19819,11.5,0,795,489,2,1,large,20.35,61,Average,25-40,>50,none,none,mid-price,362,1395,4448,11456,171
Entlebucher Mountain Dog,herding,19819,13,1,1167,489,2,1,medium,20.35,47,Average,25-40,>50,no data,no data,mid-price,1000,1300,4448,11456,146
Field Spaniel,sporting,19819,9.9,0,795,489,1,2,medium,20.35,44,Above average,15-25,>70,none,none,mid-price,362,1395,3963,10355,141
Finnish Lapphund,herding,19819,7.33,1,795,489,1,1,medium,20.35,47,Average,25-40,>50,no data,no data,mid-price,362,1395,2934,7667,104
Finnish Spitz,non-sporting,19819,11.17,0,795,489,2,1,medium,20.35,45,Average,25-40,>50,none,none,mid-price,362,1395,4471,11683,167
German Pinscher,working,19819,11.42,1,1500,489,2,1,medium,20.35,47,Average,25-40,>50,no data,no data,high-end,1500,1500,4448,11945,137
German Wirehaired Pointer,sporting,19819,10,1,655,489,2,1,large,20.35,61,Average,25-40,>50,hip problems,hip dysplasia,budget,600,800,4448,10459,75
Glen of Imaal Terrier,terrier,19819,10.42,1,795,489,2,1,small,16,34,Average,25-40,>50,no data,no data,mid-price,362,1395,4448,10899,158
