raza,categoria,costo_total_vida,longevidad_media,no_posibles_enfermedades_gen,precio_de_compra_promedio,costo_comida_anual,ciclo_cuidado_de_pelo,compatibilidad_con_niños,calificacion_popular,tamaño,peso_kg,altura_hombros_cm,categoria_de_entrenabilidad,no_rep_para_apreender,obedecer_a_la_primera_porcentaje,posibles_enfermedades_geneticas_resumen,posibles_enfermedades_geneticas_especifico,nivel_de_precio,precio_mas_bajo,precio_mas_alto,prom_comida_vida,prom_otros_gastos_vida
Basset Hound,hound,18328,11.43,2,490,324,2,1,41.0,small,20.35,36,Lowest,80-100,<25,"blood, skin disorders","Platelet dysfunction (thrombocytopathia, Basset hound thrombopathia), seborrhea",budget,150,1000,"3,183","11,955"
Basenji,hound,22096,13.58,3,940,324,2,2,93.0,medium,10.0,42,Lowest,80-100,<25,"kidney, eye problems, anaemia","Fanconi syndrome, Persistent pupillary membranes (PPM), Pyruvate kinase (PK) deficiency",mid-price,600,1200,"3,781","14,204"
Italian Greyhound,toy,16463,10.02,0,800,324,2,3,65.0,small,20.35,36,Fair,40-80,>30,none,none,mid-price,500,120,"2,790","10,480"
Staffordshire Bull Terrier,terrier,21650,12.05,1,1145,466,2,1,76.0,medium,14.0,38,Average,25-40,>50,hip problems,hip dysplasia,mid-price,500,1500,"4,823","12,604"
Bouvier des Flandres,herding,18959,10.34,1,1335,466,2,1,83.0,large,20.35,65,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,800,2500,"4,139","10,815"
Pembroke Welsh Corgi,herding,23978,12.25,9,587,674,2,1,25.0,small,12.0,28,Excellent,5-15,>85,"cataracts + other eye problems, connective tissue, nerves, kidneys, spine, blood clotting disorders","Cataracts, Corneal dystrophy, Cutaneous asthenia (Ehlers-Danlos syndrome), Degenerative myelopathy, Familial kidney disease, Intervertebral disk disease, Persistent pupillary membranes (PPM), Retinal dysplasia, von Willebrand's disease",budget,375,750,"6,026","12,813"
Clumber Spaniel,sporting,18084,10.0,0,1033,466,2,1,133.0,medium,32.0,47,Above average,15-25,>70,none,none,mid-price,800,1500,"4,003","10,459"
Dandie Dinmont Terrier,terrier,21633,12.17,0,925,466,1,1,160.0,small,10.0,23,Fair,40-80,>30,none,none,mid-price,850,1000,"4,871","12,729"
Saluki,hound,24866,12.0,0,1525,710,1,1,117.0,medium,20.35,58,Average,25-40,>50,none,none,high-end,1000,1800,"7,309","12,551"
Giant Schnauzer,working,26686,10.0,1,810,1349,1,2,95.0,large,35.0,65,Above average,15-25,>70,hip problems,hip dysplasia,mid-price,400,1500,"9,838","10,459"
Greyhound,hound,15819,9.36,1,1175,324,2,1,140.0,large,29.0,no data,Average,25-40,>50,blood vessel disorders,familial vasculopathy,mid-price,200,2500,"2,606","9,790"
Scottish Terrier,terrier,17525,10.69,1,829,324,1,2,54.0,small,9.0,25,Fair,40-80,>30,blood clotting disorder,von Willebrand's disease,mid-price,400,2200,"2,977","11,181"
Rottweiler,working,18886,9.11,3,1118,710,2,2,10.0,large,20.35,62,Brightest,<5,>95,"heart, elbow, hip problems","Subaortic stenosis, Elbow dysplasia - OCD of the elbow, Hip dysplasia",mid-price,300,1800,"5,549","9,529"
Kerry Blue Terrier,terrier,17240,9.4,1,1200,466,1,2,124.0,medium,17.0,47,Above average,15-25,>70,heart problems,Patent ductus arteriosus (PDA),mid-price,900,1500,"3,762","9,832"
